,School,Students,District
86,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hall High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut975 North Main Street, West Hartford, CT, 06117  Homes for sale",1490.0,West Hartford School District
87,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Greenwich High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut10 Hillside Road, Greenwich, CT, 06830  Homes for sale",2654.0,Greenwich School District
88,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Gainfield Elementary School
307 Old Field Road, Southbury, CT, 06488  Homes for sale",347.0,Region 15
89,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Six to Six Interdistrict Magnet School
601 Pearl Harbor Street, Bridgeport, CT, 06610  Homes for sale",454.0,Cooperative Educational Servi
90,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Great Plain School
10 Stadley Rough Road, Danbury, CT, 06811  Homes for sale",294.0,Danbury School District
91,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Great Oaks Charter School Bridgeport
510 Barnum Avenue, Bridgeport, CT, 06608  Homes for sale",400.0,Great Oaks Charter School Bri
92,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Aerospace/Hydrospace Engineering And Physical Sciences High School
840 Old Town Road, Bridgeport, CT, 06606  Homes for sale",475.0,Bridgeport School District
93,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Duffy School
95 Westminster Drive, West Hartford, CT, 06107  Homes for sale",490.0,West Hartford School District
94,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Farmington High School
1 awardAwards & BadgesCollege Success Award2019See all winners in Connecticut10 Monteith Drive, Farmington, CT, 06032  Homes for sale",1196.0,Farmington School District
95,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ridge Road Elementary School
1341 Ridge Road, North Haven, CT, 06473  Homes for sale",390.0,North Haven School District
96,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Spring Glen School
1908 Whitney Avenue, Hamden, CT, 06517  Homes for sale",435.0,Hamden School District
97,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Buckley School
250 Vernon Street, Manchester, CT, 06042  Homes for sale",392.0,Manchester School District
98,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
West Shore Middle School
70 Kay Avenue, Milford, CT, 06460  Homes for sale",451.0,Milford School District
99,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Silver Lane School
15 Mercer Avenue, East Hartford, CT, 06118  Homes for sale",295.0,East Hartford School District
100,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Harry B. Flood Middle School
490 Chapel Street, Stratford, CT, 06614  Homes for sale",587.0,Stratford School District
101,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
East Farms School
25 Wolf Pit Road, Farmington, CT, 06032  Homes for sale",423.0,Farmington School District
102,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Prospect Elementary School
75 New Haven Road, Prospect, CT, 06712  Homes for sale",609.0,Region 16
103,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
East Hartford Middle School
777 Burnside Avenue, East Hartford, CT, 06108  Homes for sale",1039.0,East Hartford School District
104,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Columbus Magnet School
46 Concord Street, Norwalk, CT, 06854  Homes for sale",367.0,Norwalk School District
105,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Waterbury Career Academy
175 Birch Street, Waterbury, CT, 06704  Homes for sale",851.0,Waterbury School District
106,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Lisbon Central School
15 Newent Road, Lisbon, CT, 06351  Homes for sale",390.0,Lisbon School District
107,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Milner Core Knowledge School
104 Vine Street, Hartford, CT, 06112  Homes for sale",309.0,Hartford School District
108,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Long Meadow Elementary School
65 North Benson Road, Middlebury, CT, 06762  Homes for sale",506.0,Region 15
109,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ansonia High School
20 Pulaski Highway, Ansonia, CT, 06401  Homes for sale",567.0,Ansonia School District
110,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Canterbury Elementary School
67 Kitt Road, Canterbury, CT, 06331  Homes for sale",283.0,Canterbury School District
111,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
West Side Middle School
483 Chase Parkway, Waterbury, CT, 06708  Homes for sale",972.0,Waterbury School District
112,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hill Regional Career High School
140 Legion Avenue, New Haven, CT, 06519  Homes for sale",656.0,New Haven School District
